name,recorded_date,over_all_rating,price_range,range (km/charge),top_speed (kmph),power,front_suspension,rear_suspension,front_type,wheel_type,ratings,design,comfort,reliability_maintenance,kerb_weight (kg),charging_time (hours),seat_height (mm),battery_capacity (kwh),rear_type,mileage_performance,maintenance_cost,features,good_features,bad_features,performance,mileage,safety,company_name
River Indie,2023-11-10,4.80, 125000 ,120,90 ,6700 Watt,Telescopic Suspension With Hydraulic Dampers,Coil Spring With Twin Hydraulic Dampers,Disc,Alloy,18 ,5.00,5.00,4.60,null,null,null,null,null,null,null,null,null,null,null,null,null,River
Benling India Aura,2023-11-10,3.00, 94296 ,120,60 ,BLDC 2500Watt,Telescopic,null,Disc,Stylish Alloy ,42 ,null,2.60,5.00,66,4 hours,1175 ,2.88 ,Drum,5.00,null,null,null,null,null,null,null,Benling India
Benling India Falcon,2023-11-10,3.80, 62200 - 69540 ,75,25 ,250 Watt & 60V Brushless Motor,Telescopic,Robust Rear Spring,Disc,null,8 ,null,4.00,4.00,66,7-8 VRLA& 4 Li-Ion hours,null,1.2 ,Drum,4.00,null,null,null,null,null,null,null,Benling India
Benling India Kriti,2023-11-10,3.70, 56940 - 64151 ,60,25 ,250 Watt & 48V Brushless Motor,Telescopic,null,Disc,Alloy,1 ,null,null,null,66,8-9 VRLA & 4 Li-Ion hours,null,0.96 ,Drum,null,5.00,3.40,null,null,null,null,null,Benling India
GT Soul,2023-11-10,4.00, 52861 - 75350 ,55,25 ,null,Front-Hydraulic Telescopic,Double Shocker With Dual Tube Technology,Drum,null,1 ,null,null,null,95,7-8 hours,null,1.344 ,Drum,null,5.00,3.80,null,null,null,null,null,GT Force
GT One,2023-11-10,4.00, 62850 - 85945 ,55,25 ,null,Front-Hydraulic Telescopic,Double Shocker With Dual Tube Technology,Disc,null,null,null,null,null,88,7-8 hours,null,1.344 ,Disc,null,null,null,null,null,null,null,null,GT Force
GT Prime,2023-11-10,4.00, 57417 - 77763 ,55,25 ,null,Hydraulic Telescopic,Double Shocker With Dual Tube Technology,Disc,null,1 ,null,null,null,85,7-8 hours,null,1.34 ,Drum,null,null,null,null,null,null,null,null,GT Force
GT One Plus,2023-11-10,4.00, 68982 - 86970 ,55,25 ,null,Hydraulic Telescopic,Double Shocker With Dual Tube Technology,Disc,null,null,null,null,null,98,7-8 hours,null,1.34 ,Disc,null,null,null,null,null,null,null,null,GT Force
GT Drive Pro,2023-11-10,null, 67801 - 90530 ,55,25 ,null,Hydraulic Telescopic,Double Shocker With Dual Tube Technology,Disc,null,null,null,null,null,85,7-8 hours,760 ,1.34 ,Drum,null,null,null,null,null,null,null,null,GT Force
GT Drive Plus,2023-11-10,4.00, 103000 ,80,55 ,null,Hydraulic Telescopic,Double Shocker With Dual Tube Technology,Drum,null,null,null,null,null,88,4-5 hours,780 ,null,Drum,null,null,null,null,null,null,null,null,GT Force
GT Flying,2023-11-10,4.00, 54338 - 77763 ,55,60 ,null,Hydraulic Telescopic,Double Shocker With Dual Tube Technology,Disc,null,1 ,null,null,null,82,7-8 hours,null,1.34 ,Drum,null,5.00,3.80,null,null,null,null,null,GT Force
Maruthisan  MS 3.0,2023-11-10,4.10, 149000 - 158000 ,140,60 ,null,Telescopic,Adjustable,disc,Alloy,16 ,4.90,4.40,null,239,null,null,null,Disc,null,null,4.00,null,null,null,null,null,Maruthisan
Sokudo Acute,2023-11-10,5.00, 126000 - 133000 ,150,60 ,null,null,null,Disc,Alloy,1 ,null,null,5.00,null,4 hours,null,null,Disc,5.00,null,5.00,null,null,null,null,null,Sokudo
Vida V1,2023-11-10,4.10, 126000 ,165,80 ,null,null,null,Disc,null,95 ,4.50,4.50,null,null,6 hours,null,null,Drum,4.30,null,null,"Feels well made, strong build quality .Removable batteries a big boon .Feature loaded including removable rear seat .Hero's unbeatable network in India .Vida owners can use Ather's grid network for charging","Limited top speed of just 82 km/h .Not as quick as Ola S1 Pro, range is also lower on the Vida Slightly on the pricier side ",null,null,null,Vida
Silence S01+,2023-11-10,3.70, 650000 ,137,43 ,10.19 PS,Adjustable Hydraulic Damping,Adjustable Hydraulic Damping,Disc,null,1 ,null,null,null,null,6-8 hours,null,null,null,null,5.00,3.40,null,null,null,null,null,Silence
iGowise BeiGo,2023-11-10,4.50, 110000 ,150,85 ,null,null,null,null,null,3 ,5.00,null,4.30,null,null,null,null,null,null,null,5.00,null,null,null,null,null,iGowise
Zelio Gracy,2023-11-10,3.60, 56675 - 59755 ,120,24.9 ,null,Hydraulic,null,null,Tubeless,23 ,4.10,4.10,null,null,6-8 hours,null,1.34 ,null,null,null,3.90,null,null,null,null,null,Zelio
Zelio Eeva,2023-11-10,5.00, 54575 - 57475 ,120,25 ,null,Hydraulic,null,null,Tubeless,2 ,5.00,null,5.00,null,6-8 hours,null,1.34 ,null,null,null,5.00,null,null,null,null,null,Zelio
Zelio Eeva ZX,2023-11-10,4.20, 59000 - 62000 ,120,25 ,null,Hydraulic,null,null,Tubeless,4 ,4.00,5.00,null,null,6-8 hours,null,1.34 ,null,5.00,null,null,null,null,null,null,null,Zelio
Zelio Gracy i,2023-11-10,3.40, 56825 - 59755 ,120,24.9 ,null,Hydraulic,null,null,Tubeless,2 ,null,null,null,null,6-8 hours,null,1.34 ,null,null,5.00,3.80,null,null,null,null,null,Zelio
Joy E-bike Wolf Plus,2023-11-10,4.50, 116000 ,100,55 ,1500 Watt,Hydraulic,Hydraulic,Disc,null,3 ,null,5.00,5.00,85,4-5 hours,null,null,Disc,5.00,null,null,Easy to ride .Edgy looks .Good features including back rest,Inconsistent quality issues .Limited real world range below 100 km,null,null,null,Joy E-bike
Joy E-bike Wolf,2023-11-10,3.60, 79900 ,65,46 ,250 Watt,Hydraulic,Dual Adjustable Shock Absorbers,Disc,null,23 ,null,null,null,81,3.5 hours,null,1.86 ,Disc,null,null,null,null,null,4.50,4.00,4.00,Joy E-bike
Joy E-bike Gen Nxt Nanu Plus,2023-11-10,3.70, 112000 ,100,55 ,1500 Watt,Hydraulic,Hydraulic,Disc,null,3 ,null,null,null,85,4-5 hours,null,null,Disc,null,4.00,null,A lightweight body makes it easy to handle .Attractive instrument console .Disc brakes on both the ends,A limited number of dealer outlets of Joy E-Bike across the country .Limited sub-100 km real-world range,4.00,5.00,null,Joy E-bike
Joy E-bike Glob,2023-11-10,3.40, 77400 ,65,25 ,250 Watt,Telescopic Fork Type,Dual Adjustable Shock Absorbers,Disc,Alloy,11 ,null,null,null,67,3.5 hours,null,1.38 ,Disc,null,4.00,null,null,null,null,4.00,4.50,Joy E-bike
Joy GEN NXT Nanu E-Scooter,2023-11-10,4.00, 77400 ,60,46 ,250 Watt,Hydraulic,Hydraulic,Disc,null,6 ,5.00,null,null,81,3.5 hours,null,1.44 ,Disc,null,4.00,null,null,null,null,4.50,null,Joy E-bike
Joy E-bike Mihos,2023-11-10,5.00, 149000 ,100,70 ,1500 Watt,Telescopic,Mono Reversible Spring,Disc,null,3 ,null,null,null,110,4 hours,null,null,Disc,null,null,null,null,null,null,null,null,Joy E-bike
M2GO Scooters X1,2023-11-10,3.70, 111000 ,120,50 ,2020 Watt,null,null,Disc,Alloy,4 ,null,3.00,1.00,null,null,null,null,Disc,3.00,null,null,null,null,null,null,null,M2GO
M2GO Scooters Civitas,2023-11-10,3.80, 127000 ,120,85 ,2020 Watt,null,null,Disc,Alloy,1 ,null,null,null,null,null,null,null,Disc,null,5.00,3.60,null,null,null,null,null,M2GO
Kabira Intercity Neo,2023-11-10,3.70, 67490 ,110,24 ,250 Watt,Spring Loaded,null,Disc,Alloy,1 ,null,null,null,null,4 hours,null,2.1 ,Drum,null,5.00,3.40,null,null,null,null,null,Kabira
Kabira Kollegio Neo,2023-11-10,3.70, 55790 ,100,24 ,250 Watt,Spring Loaded,null,Disc,Alloy,1 ,null,null,null,null,4 hours,null,1.152 ,Drum,null,5.00,3.40,null,null,null,null,null,Kabira
Kabira Kollegio Plus,2023-11-10,3.70, 65490 ,110,24 ,250 Watt,Spring Loaded,null,Disc,Alloy,1 ,null,null,null,null,4 hours,null,2.1 ,Disc,null,5.00,3.40,null,null,null,null,null,Kabira
Kabira Aetos 100,2023-11-10,3.70, 65490 ,110,24 ,250 Watt,Spring Loaded,null,Disc,Alloy,1 ,null,null,null,null,4 hours,null,2.1 ,Disc,null,5.00,3.40,null,null,null,null,null,Kabira
Kabira Hermes 75,2023-11-10,3.70, 89600 ,120,40 ,250 Watt,Spring Loaded,null,Disc,Alloy,1 ,null,null,null,null,4 hours,null,2.4 ,Disc,null,5.00,3.40,null,null,null,null,null,Kabira
Kabira Mobility Kollegio,2023-11-10,3.70, 45990 ,100,24 ,null,null,null,Disc,Alloy,1 ,null,null,null,null,4 hours,null,1.15 ,null,null,5.00,3.40,null,null,null,null,null,Kabira
Kabira Mobility Intercity Aeolus,2023-11-10,3.70, 71490 ,110,24 ,null,Spring Loaded,null,Disc,Alloy,2 ,null,null,null,null,4-6 hours,null,2.1 ,null,null,5.00,3.40,null,null,null,null,null,Kabira
Gravton Quanta,2023-11-10,3.30, 99000 ,320,70 ,3kWatt,null,null,Disc,Alloy,19 ,null,null,null,null,3 hours,null,1.8 ,Drum,null,4.00,null,null,null,3.50,null,5.00,Gravton
Komaki SE,2023-11-10,4.10, 96970 - 138000 ,200,80 ,null,Telescopic,null,Disc,Alloy,17 ,null,null,null,null,4-5 hours,null,null,Disc,5.00,5.00,null,null,null,5.00,null,null,Komaki
Komaki LY,2023-11-10,4.60, 95866 ,60,80 ,null,null,null,null,null,9 ,null,null,null,null,null,null,null,null,null,4.60,4.20,null,null,null,null,4.60,Komaki
Komaki XGT X-ONE,2023-11-10,3.60, 45000 - 78920 ,85,25 ,null,null,null,null,Alloy,6 ,4.00,null,null,null,6-8 hours,null,1.56 ,null,4.00,null,4.00,Comfortable seating. Good riding range.Smart looking design.,Aftermarket service can be a hassle.Long charging time.,null,null,null,Komaki
Komaki XGT X5,2023-11-10,4.60, 72500 - 90500 ,90,62 ,null,null,null,null,Alloy,3 ,null,null,null,null,4-5 hours,null,1.44 ,null,null,3.00,null,null,null,5.00,null,5.00,Komaki
Komaki Flora,2023-11-10,4.90, 79000 ,75,65 ,null,null,null,null,null,8 ,5.00,5.00,4.30,null,4-5 hours,null,null,null,null,null,null,null,null,null,null,null,Komaki
Komaki XGT KM,2023-11-10,4.00, 42500 - 93045 ,85,25 ,null,Telescopic Shock Absorber,Hydraulic Shock Absorber,null,Alloy,9 ,null,null,null,null,6-8 hours,null,1.8 ,null,3.00,5.00,3.00,null,null,null,null,null,Komaki
Komaki Venice,2023-11-10,3.30, 77000 - 168000 ,90,80 ,null,null,null,null,Alloy,3 ,null,null,null,null,3-4 hours,null,2.88 ,Disc,null,4.00,null,null,null,4.00,null,5.00,Komaki
Komaki XGT VP,2023-11-10,3.70, 62305 - 84681 ,65,25 ,null,Telescopic Shocker,Telescopic Shocker,Disc,null,1 ,null,null,null,null,4-5 hours,null,1.68 ,Disc,null,5.00,3.40,null,null,null,null,null,Komaki
Komaki DT 3000,2023-11-10,3.10, 121000 ,100,90 ,null,null,null,null,null,8 ,null,null,null,null,null,null,null,null,null,5.00,null,Long riding range as compared to the rivals .Value for money as per the segment .Subtle ride quality .Long and wide seat offers a lot of comfort on the go .Large footboard area useful for multiple purposes,Long term reliability is a big question mark Very minute service and dealership network .Battery heat management system reliability is questionable,5.00,5.00,null,Komaki
Komaki XGT-X3,2023-11-10,3.80, 95000 ,90,25 ,null,null,null,null,Alloy,1 ,null,null,null,null,null,null,null,null,null,5.00,3.60,null,null,null,null,null,Komaki
Komaki TN-95,2023-11-10,4.40, 98000 ,180,40 ,null,null,null,null,Alloy,5 ,null,5.00,5.00,null,6-8 hours,870 ,3.6 ,null,5.00,null,null,null,null,null,null,null,Komaki
Komaki X2 Vogue,2023-11-10,3.80, 47000 - 88500 ,85,25 ,null,Telescopic Shock Absorber,Hydraulic Shock Absorber,null,Alloy,6 ,null,null,null,null,6-8 hours,null,1.44 ,null,null,null,null, Good riding range .Sleek looking e-scooter.,Built materials not known.No wide range of service dealerships.,5.00,5.00,3.00,Komaki
Komaki Super,2023-11-10,4.20, 29500 ,60,37 ,350-500 Watt,null,null,null,Alloy,8 ,null,5.00,5.00,null,null,null,0.96 ,null,5.00,null,null,null,null,null,null,null,Komaki
Odysse Electric Racer,2023-11-10,4.00, 85000 ,170,45 ,1200 Watt,Telescopic,Spring Loaded Hydraulic,Disc,Alloy,1 ,null,null,null,null,3.5 hours,810 ,null,null,null,5.00,3.80,null,null,null,null,null,Odysse Electric
Odysse Electric Hawk,2023-11-10,3.80, 74000 - 118000 ,60,45 ,1800 Watt,Telescopic,Spring Loaded Hydraulic,Disc,Alloy,4 ,null,null,null,null,4 hours,830 ,null,null,1.00,5.00,3.20,null,null,null,null,null,Odysse Electric
