name,variant,variant_price,recorded_date,range,company_name
River Indie,STD,125000,2023-11-10,Under 2 Lakh,River
Benling India Aura,BASE,94296,2023-11-10,Under 1 Lakh,Benling India
Benling India Falcon,LA,62200,2023-11-10,Under 70 Thousand,Benling India
Benling India Falcon,LI,69540,2023-11-10,Under 70 Thousand,Benling India
Benling India Kriti,LA,56940,2023-11-10,Under 70 Thousand,Benling India
Benling India Kriti,LI,64151,2023-11-10,Under 70 Thousand,Benling India
GT Soul,Lead Acid 48V,52861,2023-11-10,Under 70 Thousand,GT Force
GT Soul,Lead Acid 60V,55561,2023-11-10,Under 70 Thousand,GT Force
GT Soul,Lithium Ion 48V,71500,2023-11-10,Under 1 Lakh,GT Force
GT Soul,Lithium Ion 60V,75350,2023-11-10,Under 1 Lakh,GT Force
GT One,Lead Acid 48V,62850,2023-11-10,Under 70 Thousand,GT Force
GT One,Lead Acid 60V,65628,2023-11-10,Under 70 Thousand,GT Force
GT One,Lithium Ion 48V,81755,2023-11-10,Under 1 Lakh,GT Force
GT One,Lithium Ion 60V,85945,2023-11-10,Under 1 Lakh,GT Force
GT Prime,Lead Acid 48V,57417,2023-11-10,Under 70 Thousand,GT Force
GT Prime,Lead Acid 60V,62545,2023-11-10,Under 70 Thousand,GT Force
GT Prime,Lithium Ion 48V,73778,2023-11-10,Under 1 Lakh,GT Force
GT Prime,Lithium Ion 60V,77763,2023-11-10,Under 1 Lakh,GT Force
GT One Plus,Lead Acid,68982,2023-11-10,Under 70 Thousand,GT Force
GT One Plus,Lithium Ion,86970,2023-11-10,Under 1 Lakh,GT Force
GT Drive Pro,Lead Acid 48V,67801,2023-11-10,Under 70 Thousand,GT Force
GT Drive Pro,Lead Acid 60V,70578,2023-11-10,Under 1 Lakh,GT Force
GT Drive Pro,Lithium Ion 48V,85784,2023-11-10,Under 1 Lakh,GT Force
GT Drive Pro,Lithium Ion 60V,90530,2023-11-10,Under 1 Lakh,GT Force
GT Drive Plus,STD,103000,2023-11-10,Under 2 Lakh,GT Force
GT Flying,Lead Acid 48V,54338,2023-11-10,Under 70 Thousand,GT Force
GT Flying,Lead Acid 60V,57594,2023-11-10,Under 70 Thousand,GT Force
GT Flying,Lithium Ion 48V,73778,2023-11-10,Under 1 Lakh,GT Force
GT Flying,Lithium Ion 60V,77763,2023-11-10,Under 1 Lakh,GT Force
Maruthisan  MS 3.0,"60 V, 30 Ah",149000,2023-11-10,Under 2 Lakh,Maruthisan
Maruthisan  MS 3.0,"72 V, 30 Ah",158000,2023-11-10,Under 2 Lakh,Maruthisan
Sokudo Acute,2.2,126000,2023-11-10,Under 2 Lakh,Sokudo
Sokudo Acute,STD,133000,2023-11-10,Under 2 Lakh,Sokudo
Vida V1,PRO,126000,2023-11-10,Under 2 Lakh,Vida
Silence S01+,STD,650000,2023-11-10,Under 5 Lakh,Silence
iGowise BeiGo,X4,110000,2023-11-10,Under 2 Lakh,iGowise
Zelio Gracy,28 Ah 48V,56675,2023-11-10,Under 70 Thousand,Zelio
Zelio Gracy,28 Ah 60V,59755,2023-11-10,Under 70 Thousand,Zelio
Zelio Eeva,28 Ah 48 V,54575,2023-11-10,Under 70 Thousand,Zelio
Zelio Eeva,28 Ah 60V,57475,2023-11-10,Under 70 Thousand,Zelio
Zelio Eeva ZX,28 Ah 48V,59000,2023-11-10,Under 70 Thousand,Zelio
Zelio Eeva ZX,28 Ah 60V,62000,2023-11-10,Under 70 Thousand,Zelio
Zelio Gracy i,28 Ah 48V,56825,2023-11-10,Under 70 Thousand,Zelio
Zelio Gracy i,28 Ah 60V,59755,2023-11-10,Under 70 Thousand,Zelio
Joy E-bike Wolf Plus,BASE,116000,2023-11-10,Under 2 Lakh,Joy E-bike
Joy E-bike Wolf,STD,79900,2023-11-10,Under 1 Lakh,Joy E-bike
Joy E-bike Gen Nxt Nanu Plus,BASE,112000,2023-11-10,Under 2 Lakh,Joy E-bike
Joy E-bike Glob,STD,77400,2023-11-10,Under 1 Lakh,Joy E-bike
Joy GEN NXT Nanu E-Scooter,STD,77400,2023-11-10,Under 1 Lakh,Joy E-bike
Joy E-bike Mihos,STD,149000,2023-11-10,Under 2 Lakh,Joy E-bike
M2GO Scooters X1,BASE,111000,2023-11-10,Under 2 Lakh,M2GO
M2GO Scooters Civitas,STD,127000,2023-11-10,Under 2 Lakh,M2GO
Kabira Intercity Neo,60 V-35 Ah,67490,2023-11-10,Under 70 Thousand,Kabira
Kabira Kollegio Neo,48 V- 24 Ah,55790,2023-11-10,Under 70 Thousand,Kabira
