name,recorded_date,reviewer_name,review_date,reviewer_text
River Indie,2023-11-10,Anonymous,31 Days ago,5.0 A Comfortable and Spacious Ride with Exceptional Handling
River Indie,2023-11-10,Anonymous,1 Month ago,"4.2Am impressed with the wheel base, broad seats, sturdyness, shock absorbers but at the downside range should be atleast 200 kms."
River Indie,2023-11-10,Sachin,2 Month ago,4.6This is a good scooter i have ever seen. Its quality is awesome.
Benling India Aura,2023-11-10,paresh shetye,2 Month ago,5.0 Its a very good vehicle with good looks and sturdy structure with performance. Also it offers good mileage per charge
Benling India Aura,2023-11-10,Thatchana moorthy,2 Month ago,4.6 Good performance eco drive to get range 100 to 110
Benling India Aura,2023-11-10,Balaji,6 Month ago,4.7Overall a good choice when compared with TVS iCUBE & OLA S1. Low price when compared to rivals. Don't waste money on TVS & OLA.
Benling India Falcon,2023-11-10,Avni M,2 Month ago,3.0After sales service is just pathetic and even the service centre manager is worst.
Benling India Falcon,2023-11-10,Mayuresh,10 Month ago,"3.4It's a good motercycle.but suspension is too bad. And low quality metal. Other than it saved our money, "
Benling India Kriti,2023-11-10,VIKASH chandra,8 Month ago,3.7Easy to handle but top speed limited & charge time long
GT Soul,2023-11-10,MAMIDI satish,8 Month ago,"4.0Scooter is look good, good battery performance. Ride quality also good"
GT One,2023-11-10,Mahesha,8 Month ago,4.0
GT Prime,2023-11-10,Safi,8 Month ago,4.0
GT One Plus,2023-11-10,Naveen,8 Month ago,4.0
GT Drive Plus,2023-11-10,Rajendra paswan,8 Month ago,4.0
GT Flying,2023-11-10,Aashish,8 Month ago,"4.0Affordabl scooter. Look simple, limited speed"
Maruthisan  MS 3.0,2023-11-10,Umarsangji sodha,1 Month ago,"4.4Stunning Led Headlamp and timeless design. Overall aesthetics to the functional features, a well-designed electric scooty provide a stylish mode of transportation. Cosmetic looks are good. Front face  showcases a chic headlamp unit with integrated indicators, giving it a distinctive appeal. "
Maruthisan  MS 3.0,2023-11-10,RATAN lal JAT,1 Month ago,4.4It is an electric scooter with a battery capacity of 30 Ah. It has a maximum speed of 60 kmph and a range of 160 km. Unleashing performance with advanced tyre technology which enhanced grip and efficiency with specially developed compounds.
Maruthisan  MS 3.0,2023-11-10,K.RAMAKRISHNA,2 Month ago,"4.4It is loaded with features such as Passenger Foot rest available, Low Battery Indicator, Removable Battery, Turn Signal Lamp or more."
Sokudo Acute,2023-11-10,Rajat,4 Month ago,5.0One of the finest scooter and toughest with best mileage.
Sokudo Acute,2023-11-10,Dhruv Patel,4 Month ago,5.0
Vida V1,2023-11-10,Ritesh,10 Nov 2023,4.4It is designed to withstand various road conditions and provide a smooth riding experience.
Vida V1,2023-11-10,Ritesh,10 Nov 2023,"4.4It boasts a sleek and stylish design. It is constructed with high-quality materials that give it a premium feel. The device is compact and lightweight, making it easy to carry around. The build quality is generally praised by users, with many mentioning its durability and sturdiness."
Vida V1,2023-11-10,Subramanya,08 Nov 2023,"4.4It has Hero's i3S technology, which helps save gasoline by automatically turning off the engine when it has been idle for a predetermined amount of time. For seamless gear changes, the engine is linked to a 4-speed gearbox."
Silence S01+,2023-11-10,Balvinder singh,7 Month ago,3.7Loved this scooter& it rides smoothly& pickup is very good& service cost is also low but it gives less mileage.
iGowise BeiGo,2023-11-10,Sumer Singh,8 Month ago,5.0BeiGo showroom Delhi me kaha per hai. BeiGo scooty Lena hai.
iGowise BeiGo,2023-11-10,Dimple,8 Month ago,3.8Nice Electric scooter.
iGowise BeiGo,2023-11-10,Dipak Dutta,9 Month ago,"4.6This scooter looking nice and mileage also good but front light you some change, now it's some better "
Zelio Gracy,2023-11-10,Manoj joshi,07 Nov 2023,"4.6I have used this and now going to purchase,  it look sturdy and the seat is very less in hight thus gives more comfort to the ladies and less highted person. And weight wise it is less weight. More beneficial in city and good for students and female riders. As are in attractive colours"
Zelio Gracy,2023-11-10,Gulshan,6 Month ago,5.0This best for all kids also drive this in age.
Zelio Gracy,2023-11-10,Money,9 Month ago,1.0It's the worst e bike one can buy. Not recommended at all.
Zelio Eeva,2023-11-10,Prabhat dhar,1 Month ago,5.0 Wow it awesome scooter with efficient design
Zelio Eeva,2023-11-10,Nitesh,1 Year ago,"5.0It's very good scoty in this google teacher good look , good range,also are very good."
Zelio Eeva ZX,2023-11-10,Anonymous,1 Month ago,5.0 Nice but mileage is at good level. performance is also satisfying.
Zelio Eeva ZX,2023-11-10,Kiran kalburgi,1 Year ago,3.8Good condition and good performance software to work 
Zelio Gracy i,2023-11-10,Ashutosh,7 Month ago,4.0Its has lowest price and nice features and comfortable
Joy E-bike Wolf Plus,2023-11-10,Rahul Kumar,2 Month ago,5.0 Good  good very happy with features
Joy E-bike Wolf Plus,2023-11-10,Satish,7 Month ago,3.7Driving is very smooth and comfortable.But it's build quality is very bed.It's stearing quality is very third class
Joy E-bike Wolf,2023-11-10,Vishal,3 Month ago,1.0Very bad experience with Joy E bike. Not good overall very bad.
Joy E-bike Wolf,2023-11-10,Sharath Kini,7 Month ago,"1.0Worst scooter ever seen, all my electric parts head lights, indicator, horn and power reducers got burnt away, company is not responding for the complaint raised, email sent, service centre is saying to change headlights, indicator assembly for bulb burn out, company doesn’t care for its customers."
Joy E-bike Wolf,2023-11-10,Dhyanachandra behera,1 Year ago,2.6Service is not good. Battery showing poor performance after 1 year. Want to replace it under warranty. But show room says battery not available. I don't have any communication address.
Joy E-bike Gen Nxt Nanu Plus,2023-11-10,Harish Rohit,1 Year ago,"4.2Nice Scooter, Good Performance, Lovely Design, Comfortable to use, Good Range, and Fast Charging."
Joy E-bike Glob,2023-11-10,Ashok Kumar Jangir,1 Year ago,1.0MHA bakwas it is a toy Joy globe purchase is money is waste I have experience in 11 months and I was happy in its early period but become worst with time
Joy E-bike Glob,2023-11-10,Debasis Satapathy,1 Year ago,2.2In this vehicle all the parts those are assembled are of very poor quality.frustrated by changing the disk pad once in a week.such a disaster by the company.only Chinese product of worst quality material is used in this scooter.. truly dissatisfied by purchasing 
Joy E-bike Glob,2023-11-10,Kapil Thakur,1 Year ago,"4.0Brakes are great and suspension also good.Overall riding experience was nice, just that space should be more."
